reference_number,watch_URL,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_URL,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description
LCF040.T1.V1GCO,https://laurentferrier.ch/collections/sport/products/sport-auto-40, ,Laurent Ferrier, ,Sport,Sport Auto,40, , ,CHF,"51,000",https://laurentferrier.ch/cdn/shop/files/Laurent-Ferrier_Serie-Atelier-V_Sport-Auto-40_Watch_LCF040.T1.V1GCO_Front-Soldat_v2_800x.png?v=1693200045,Switzerland, , Grade 5 titanium, , , 41.5 mm (3-9 o'clock), , , 12.70 mm, , , , 120 meters, ,"Gradient viridian green opaline dial with green and anthracite transfersMatte white opaline small seconds at 6 o'clock with semi-glossy opaline ""40""",,Â Grade 5 titanium,Â Grade 5 titanium, Grade 5 titaniumÂ folding clasp, Self-winding movement, LF270.01, 72 hours,"4 Hz (28,800 vibrations/hour)",31,"Central hours and minutes, small seconds at 6 o'clock, date at 3 o'clock","The Sport Auto 40 is a tribute to racing history, inspired by the Porsche 935 Turbo No. 40. Relive the atmosphere of the world's greatest motor race with this timepiece, featuring a dial in the legendary racing car's colors. The 1979 Porsche 935 T NÂ°40 edition, driven by Laurent Ferrier, FranÃ§ois Servanin, and FranÃ§ois Trisconi, placed third overall, won second in group V, and led Servanin to be named best French driver. Experience this piece of history on your wrist!Â Read more...
", 
LCF040.T1.A3GC1,https://laurentferrier.ch/collections/sport/products/only-watch-2023, ,Laurent Ferrier, ,Sport,Sport Auto,'On Track', , ,CHF,0,https://laurentferrier.ch/cdn/shop/files/Laurent-Ferrier_Only-Watch-2023_Sport-Auto-On-Track_LCF040.T1.A3GC1_Watch_LCF040.T1.V1GCO_Front-Soldat_Updated_800x.png?v=1696595745,Switzerland, , Grade 5 Titanium , , , 41.5mm (3 o'clock - 9 o'clock) , , , 12.70mm , , , ,, ,Charcoal grey gradient shades with white transfer ,, Grade 5 titanium 3-link integrated bracelet , Grade 5 titanium 3-link integrated bracelet ,Grade 5 titanium folding clasp, Self-winding movement , LF270.01 , 72 hours ,"4Hz (28,800 vibrations/hour) ",31,"Central hours and minutes, small second at 6 o'clock, date at 3 o'clock ","Â 







AUCTION DATE: TBDVisit onlywatch2023.ch to learn more.
â€“â€“â€“
Once again, LAURENT FERRIER is proud to support Luc Pettavino and his team for this 10thÂ Only Watch event. For this occasion, LAURENT FERRIER has created a unique timepiece that embodies the history of the brand.







Designed as the piece that Laurent Ferrier and FranÃ§ois Servanin, the two founders of the brand, wish they could have worn during their multiple adventures as racing drivers, the Sport Auto is here reinterpreted to offer an exclusive, brand-new dial.
", 
LCF040.T1.C1GC5,https://laurentferrier.ch/collections/sport/products/sport-auto-blue, ,Laurent Ferrier, ,Sport,Sport Auto,Blue, , ,CHF,"48,000",https://laurentferrier.ch/cdn/shop/products/Laurent-Ferrier_Sport-Auto-Blue_Watch_LCF040.TI.C1GC5_Front-Soldat_800x.png?v=1643706998,Switzerland, , Grade 5 titanium, , , 41.5 mm, , , 12.70 mm, , , , 120 m - 12 ATM, ,Gradient shades of blue with an opaline finish,Drop-shaped 18k white gold 210Pd with green Super-LumiNova, Grade 5 titanium, Grade 5 titanium,Grade 5 titanium folding clasp,. Calibre LF270.01. Self-winding movement with micro-rotor. Micro-rotor winding system fixed between the main plate and the micro-rotor bridge. Swiss lever escapement,Calibre LF270.01, 72 hours,"28,800 vph (4Hz)",31,"Hours, minutes & small seconds at 6 o’clock","The exterior of the Sport Auto is a refined interplay of firm and rounded curves enlivened by a few counter-curves outlining a bodywork with a perfectly balanced design. The domed sapphire dominates the watch while giving it an irresistible curve to the touch. The latter offers a bird's-eye view of a dial bringing together all the LAURENT FERRIER aesthetic codes. Its different shades of blue, combined with its opaline finish, gives it a soft and powdery line.Read more...
", 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
